"","ds.est","dsm.est","dsm.var","dsm.dev","detections"
"28",729.116137206218,742.463850960141,26547.2676231192,0.141213992980211,21
"29",2084.81649750314,2246.95970522874,145913.477061045,0.134900280817432,36
"30",1069.0802427373,1067.40261439401,38645.7806817572,0.266480282975379,30
"31",938.365811660415,957.945556592068,29468.5979982737,0.280569133511435,32
"32",835.646490195962,845.890375514142,25090.7590783294,0.158820887827368,29
"33",505.229389826644,511.802739924266,16200.1703192846,0.349773726899652,17
"34",1060.19825844094,1054.1563452585,41773.1921550257,0.0757713099310323,27
"35",652.711271779422,643.167105009187,17627.968432127,0.348947018782504,24
"36",534.2613865579,553.575756365108,12080.3352018176,0.164654202761743,26
"37",738.537279582889,747.130540055078,21969.569626318,0.443666064611771,26
"38",1510.5069156228,1498.88747029439,94993.8101541395,0.215421199159363,24
"39",697.150066898081,709.088720617297,22327.7312374553,0.239098276995248,23
"40",758.858548239074,768.248833345431,19931.1175904842,0.0634721038272457,30
"41",1228.11410559294,1265.98763655759,49780.4473803549,0.1550145092172,33
"42",1186.42442856856,1210.57285974891,47992.6206893402,0.0472609631187207,31
"43",900.824094218877,898.74176665715,44943.4778246215,0.260012167961268,34
"44",1192.54601268739,1177.95900459758,47496.5811522961,0.495341988748152,30
"45",998.583668792976,1064.86257443295,41938.0409791829,0.0840514399204982,28
"46",1350.12928836032,1349.7943097235,65928.0893144158,0.0873329432171702,28
"47",1002.83446727731,988.763526534989,45644.5715459975,0.171548995149016,22
"48",938.971699408903,977.054988991724,40368.7320267068,0.0269731107402494,24
"49",1369.23311265484,1410.92484993837,57775.9384905491,0.260131175514487,35
"50",1120.48342292992,1174.44007573374,20724.5768813832,0.474063192956448,34
"51",891.249010594712,905.596588060017,27756.6019500634,0.0590952062448126,30
"52",628.081648073322,644.258022994695,17564.6180963677,0.19454766887004,24
"53",670.66553046817,687.837544336864,17118.834867043,0.103063213566355,28
"54",787.241918155127,817.085845168895,23708.5420442702,0.438290838092459,29
"55",540.52585141182,557.674093553293,12222.4448269133,0.00590297153858221,26
"56",1197.83749975508,1240.54550173362,44642.2000764745,0.128182857274706,35
"57",1174.64186442023,1243.32388461352,50623.0982427775,0.0497437067392746,31
"58",769.127076659209,797.4955527123,23000.5442952741,0.0498126370876168,28
"59",709.331635984533,738.611276690076,21746.3141490125,0.399610038211539,26
"60",1163.71843506553,1162.64279101625,45178.1019687906,0.240810017917391,31
"61",471.864626085156,495.181217753913,9929.42552319439,0.113482338262688,25
"62",944.242669400075,953.931832573293,30817.2317844634,0.0723276551178014,30
"63",984.199708724875,1046.9809800433,36803.2329513719,0.0747541513169342,31
"64",833.762834933033,847.914890495139,40813.0277629411,0.264776311386045,18
"65",981.345625354208,1008.93121544425,38280.612294991,0.23022950239272,27
"66",1281.41133473986,1299.24079784113,50694.2976220943,0.380212860459171,34
"67",1074.95818776552,1102.72799023145,37521.8311555352,0.113167820187745,33
"68",1395.64048209964,1473.38870631508,76164.7898946251,0.258466437768192,29
"69",641.524511421129,674.519992336453,16614.1168752185,0.0732388664131867,28
"70",770.271693982254,787.603879999637,28576.5447148156,0.241447765550063,22
"71",877.044171883836,915.224062027926,25194.2863252291,0.0937832917280181,34
"72",936.628814973364,922.554498703191,24339.4469594099,0.27052095349929,36
"73",924.367530679235,933.513481914626,34477.0381029115,0.0377960144657651,26
"74",751.7741895918,763.325072774526,24446.9736007527,0.466596790364479,25
"75",717.844357102996,753.191267992615,22955.7107354944,0.0218561862824486,25
"76",1385.09126587631,1425.62399375375,53755.3783770955,0.1179886375075,39
"77",1346.46591881845,1341.79840654555,50717.1253470614,0.396852490157452,36
"78",759.395675924815,779.638492505511,22048.8767038527,0.0422136431760064,28
"79",1244.60926881082,1264.1367988146,47742.8785590803,0.43150724315442,34
"80",687.651109438212,691.574447951114,10907.8328552951,0.593964079245813,24
"81",1080.29310321928,1076.60082495178,33701.5699345917,0.267434242280219,35
"82",1311.42426746547,1318.51499225083,61366.6773250005,0.503733746179011,29
"83",745.461617376911,772.620861263261,27611.8498739483,0.0792421608895786,22
"84",1233.53756170845,1226.85598570027,40619.0010807339,0.329568284558554,38
"85",1103.29663807296,1124.78366726589,38047.8410129919,0.369732237304608,34
"86",1439.50120978449,1481.19350437608,67677.3211735024,0.28524737990273,33
"87",552.64187003353,546.076407958017,10471.5561514774,0.398711190607544,29
"88",1252.64788291654,1266.79708765133,37978.2382628117,0.429043818712657,43
"89",741.302717832738,781.430884748206,23323.2673603382,0.0263289186371621,27
"90",796.105932169586,811.716725894084,44016.69109847,0.0955145725086532,23
"91",1136.2700205674,1192.25776543521,62544.1763381824,0.00546240708345479,23
"92",648.902783446152,670.289691957458,15438.6119390011,0.35202984723948,30
"93",840.50938618535,865.232480902194,23864.508983418,0.302721972479422,32
"94",530.458558064881,546.682806282875,12614.1986628018,0.0630706109727523,24
"95",804.288488127483,836.050422721905,22279.0525218965,0.309275660375845,32
"96",944.492776005053,956.893628956098,28134.0013460989,0.19958096463993,33
"97",1010.59217234892,1004.92492998699,15639.1898877433,0.512288507034547,33
"98",1388.9349376331,1401.0605299755,55327.6745369797,0.238396628595046,36
"99",979.339076410813,988.550300338906,27064.3370242198,0.429791518450558,37
"100",972.035482847971,965.371150294031,30612.8475652774,0.295252339528434,31
"101",1195.19555188886,1186.02114191755,43221.98812977,0.0706987611916245,33
"102",703.720390825278,727.422430710069,28078.5324869471,0.193340570151283,30
"103",974.410374948309,981.973758664195,37725.135932032,0.193703186069869,26
"104",532.139493550916,550.774804950947,12352.207862924,0.378507614260214,25
"105",913.886963248034,950.047680122349,30461.319009246,0.157831108295993,30
"106",745.69178035209,787.709453870918,33099.4946955459,0.0721879986368793,19
"107",920.492743383076,931.909392497546,26011.3701753227,0.310723612992363,34
"108",926.71884705191,948.508498980783,39998.9341029732,0.276122824195643,23
"109",1076.87950833783,1131.46809628892,43662.1018202382,0.293321889346409,30
"110",1007.6385999601,1098.0781512457,47743.1967968247,0.265182378430703,26
"111",1161.54213969043,1165.78062583429,38216.1336379237,0.218253538956361,36
"112",993.495466465139,1007.28434024722,30356.5303334401,0.00677952849847758,34
"113",947.878046069891,975.387742938985,36166.4825140026,0.155915927194502,27
"114",1037.64438269043,1042.69102842974,39293.9140363485,0.0275952590062315,28
"115",1943.80617518053,1979.16204824639,92990.9394375273,0.501919502587814,43
