"","x"
"1",1133.99210697921
"2",800.368390488777
"3",1044.77361098474
"4",1220.03319386413
"5",1086.15571894735
"6",865.949516786789
"7",1180.04800902229
"8",1151.57942897878
"9",1130.85792679716
"10",990.154120382735
"11",826.573739193765
"12",1033.07752973185
"13",1187.07025702642
"14",857.74020191011
"15",868.026810564558
"16",883.283241662005
"17",619.413799290902
"18",946.04330589085
"19",891.871411462147
"20",902.870630310456
"21",854.626882263542
"22",1167.21059387831
"23",1011.73783632664
"24",1187.27373819332
"25",1280.47292477403
"26",807.334731644369
"27",961.029070850178
"28",802.462676527704
"29",1111.95501764579
"30",781.65472299731
"31",1071.59070193138
"32",912.307038030173
"33",1088.70816867295
"34",1227.17020860672
"35",893.509934518993
"36",953.584645602886
"37",789.006161729445
"38",958.707910372946
"39",778.857345800036
"40",983.282932628676
"41",1009.7164185432
"42",1525.31449116384
"43",947.904849639177
"44",969.959854517261
"45",950.196398633171
"46",1067.99961189457
"47",843.506548636532
"48",600.708085756649
"49",820.688205356715
"50",839.655918402813
"51",909.89751519335
"52",1443.10641214568
"53",1180.65161589809
"54",1045.54046491961
"55",1131.08983464687
"56",1048.26433951854
"57",867.43369063109
"58",943.778657153319
"59",915.374015581986
"60",1328.40639829729
"61",1207.03887006483
"62",1282.08085206354
"63",828.616090685951
"64",909.061859389009
"65",1013.05289948083
"66",692.244833015888
"67",1160.40070215684
"68",1066.36838087968
"69",998.41254637555
"70",1083.86134514829
"71",840.536217411023
"72",1213.19180810241
"73",1063.14418463591
"74",940.345876643768
"75",709.370267311414
"76",1071.38536019331
"77",896.471186648582
"78",962.342707547265
"79",1201.83547782099
"80",1099.02256728845
"81",892.42157742729
"82",901.426845630248
"83",1019.6853348689
"84",886.753682795236
"85",1196.17843197946
"86",1132.55144984531
"87",589.672189107558
"88",1182.80569226301
"89",807.553539034244
"90",1062.39270876331
"91",1068.61154634219
"92",1250.57729823142
"93",1076.58392257743
"94",1261.57319729828
"95",935.300866679927
"96",891.319710176329
"97",1040.73509930617
"98",1070.09834440985
"99",824.104687624407
"100",1050.48252214089
"101",900.07380784288
"102",756.413040034759
"103",1027.81262663443
"104",940.78176597434
"105",787.662818220223
"106",1114.98684172243
"107",860.394781386242
"108",979.919742888794
"109",1050.22842241142
"110",896.541957449841
"111",869.618321962551
"112",946.511774740586
"113",1278.89041892438
"114",965.13688640685
"115",938.827162464263
"116",1125.53565160512
"117",1054.19089577824
"118",839.209526866437
"119",888.810503011397
"120",1137.67732522222
"121",875.306429599284
"122",1195.88429411811
"123",1225.23698332791
"124",1063.02055709088
"125",765.219836894113
"126",1378.16549893488
"127",840.663442830074
"128",1206.46791116524
"129",794.521582337272
"130",1256.25210974616
"131",1009.52865089848
"132",1074.09076089599
"133",914.437680849142
"134",1022.3865053336
"135",1006.65533844391
"136",878.045204179907
"137",807.072860901707
"138",920.607738176107
"139",1082.49320255948
"140",879.610695475945
"141",1046.82407571891
"142",1059.36455302036
"143",907.537610213822
"144",772.163716954468
"145",1339.11756366514
"146",879.740525673138
"147",1039.75136208836
"148",922.738066673213
"149",706.560704910419
"150",1063.23558010796
"151",991.141780886834
"152",761.502831763288
"153",906.433483296134
"154",1071.42790148123
"155",913.729035487273
"156",796.526578512813
"157",1135.31416834425
"158",1278.76918343995
"159",991.902677127092
"160",813.742299468916
"161",1069.61321076545
"162",832.160555899723
"163",1090.82667232483
"164",1092.98217516622
"165",887.600352056928
"166",786.781769997456
"167",1057.65690763163
"168",825.379897002764
"169",987.489438762366
"170",847.646321014672
"171",1040.09685018958
"172",877.970336501429
"173",1177.19510827846
"174",940.769882982574
"175",932.012564492607
"176",1133.7105607868
"177",1408.85446848389
"178",1422.67693734982
"179",1070.18244630037
"180",1103.40047567915
"181",1148.49554024655
"182",1104.42270009059
"183",1170.16997602259
"184",900.788501535518
"185",842.45053387476
"186",1097.20563226912
"187",1096.07357421717
"188",816.096402870251
"189",1119.22629949837
"190",1114.89023964832
"191",1033.38312990842
"192",1109.41379395304
"193",1004.73800623409
"194",933.354440762739
"195",891.630124951253
"196",1095.55572008928
"197",772.39815946784
"198",1079.71723435338
"199",992.3567328542
"200",811.020581396157
"201",1241.18779492886
"202",979.174044587131
"203",1254.68879943425
"204",916.668707706195
"205",912.958518375523
"206",1260.25883106334
"207",1393.92506615643
"208",1027.16838896764
"209",848.002061115436
"210",1128.23622946956
"211",1216.37270626166
"212",1343.93331064901
"213",973.000648873553
"214",555.612633106628
"215",728.25235172199
"216",1081.80384329679
"217",1021.25428253054
"218",1125.41148989265
"219",1105.5658604619
"220",829.140901620548
"221",1003.14347234746
"222",910.783045895813
"223",755.248849119353
"224",834.061688723741
"225",887.599925417633
"226",874.111764670095
"227",1179.95594905934
"228",747.795953268684
"229",1355.80369499176
"230",921.381823117823
"231",1041.43394683794
"232",1062.21507089964
"233",859.603749082057
"234",807.806846136726
"235",938.788937510972
"236",909.245123577336
"237",1109.35853130262
"238",1114.17286814864
"239",1239.34974250442
"240",859.088795545738
"241",1032.58161849246
"242",1014.25564311744
"243",1161.08968583437
"244",668.525021815726
"245",1161.62651380646
"246",797.31450039114
"247",562.244397909151
"248",994.201075683434
"249",1073.68026584403
"250",944.299088974785
"251",876.65502819672
"252",914.246286214705
"253",1022.94383388162
"254",920.69094580566
"255",761.793843587974
"256",1186.39091202076
"257",976.113395081941
"258",873.004000778948
"259",1088.34161249922
"260",972.097249725442
"261",848.444156734113
"262",984.341515464667
"263",850.192255634078
"264",971.894269418603
"265",1010.41797064945
"266",1111.71885003133
"267",732.54074672215
"268",1031.18990127557
"269",763.874936445494
"270",1185.34967763071
"271",1080.43608633137
"272",1055.747123632
"273",772.781741918676
"274",1210.85306384746
"275",1008.8546216784
"276",885.571229332332
"277",896.268403730531
"278",1067.81257902817
"279",1014.8876730096
"280",1057.37165507383
"281",1044.84343339372
"282",891.325639509498
"283",852.462141612066
"284",968.622280115298
"285",1053.72638064654
"286",764.610843957502
"287",963.410723127928
"288",984.710050143965
"289",734.979744045595
"290",1121.36341811932
"291",840.240156622419
"292",835.191519755573
"293",1121.37673703918
"294",1105.69752411928
"295",862.627201031576
"296",1206.52025554095
"297",824.290139150633
"298",1084.150332382
"299",887.037134850997
"300",900.708599191562
"301",1422.85133955103
"302",1046.98963412203
"303",874.154544267429
"304",1038.31346875454
"305",1061.90605370957
"306",1028.27905514741
"307",1106.51700068582
"308",994.772097934354
"309",929.15101219284
"310",910.276878034795
"311",1015.95708534759
"312",1184.85796511467
"313",1092.89582418103
"314",675.863819345659
"315",927.806081836927
"316",1145.72636873586
"317",921.240867161825
"318",1006.4904263338
"319",995.959378294165
"320",707.676246450059
"321",1493.44399033169
"322",626.109185931855
"323",1118.61304047201
"324",978.023518270282
"325",1068.56418333292
"326",1102.4929310053
"327",820.581760374978
"328",755.12406109107
"329",717.730926191198
"330",897.687742032796
"331",1228.84945552572
"332",946.327305603407
"333",980.281758513282
"334",1039.40344461203
"335",941.889101730212
"336",949.674006766608
"337",970.705658303749
"338",749.099910332956
"339",1048.56333650407
"340",946.07039926382
"341",761.736406701919
"342",1030.09992578988
"343",1009.47651796305
"344",846.753627680925
"345",882.437994358115
"346",887.010406873107
"347",1048.96633190864
"348",851.851132321296
"349",1216.03026039338
"350",955.557582032715
"351",1066.0485317845
"352",1046.59080032575
"353",1099.75422881376
"354",1134.08126497094
"355",991.469414545176
"356",944.807647568141
"357",899.747050130149
"358",1207.31258617072
"359",893.128962120168
"360",967.342213319556
"361",1028.55271419083
"362",1191.72492559537
"363",1038.82321691729
"364",1022.50761663842
"365",1226.91921197084
"366",1080.78339948208
"367",1146.71985156613
"368",815.307461462966
"369",1088.01849291698
"370",933.696311811644
"371",909.378982105291
"372",1177.63245576571
"373",1031.89685299069
"374",1055.30742218309
"375",884.265096971042
"376",1023.075121677
"377",1261.27698730012
"378",1193.72241741873
"379",899.996053078662
"380",1060.3524469807
"381",832.221794532435
"382",1054.95182251723
"383",1098.30039127028
"384",1006.9175700076
"385",974.759684011163
"386",1052.82039403615
"387",822.333346768028
"388",1019.29225613649
"389",985.551446623868
"390",1139.74635877591
"391",1132.91670212063
"392",988.056741257486
"393",931.905226206182
"394",1018.60799727487
"395",935.552110238983
"396",861.26189228135
"397",1145.75749755649
"398",864.907003251046
"399",837.39677910617
"400",819.982257654894
"401",733.710359093424
"402",1022.34557741892
"403",1073.19469445456
"404",893.260318380247
"405",1028.12858027706
"406",946.808974030754
"407",1078.36614169699
"408",795.658414550308
"409",1321.28640283394
"410",1043.82377062507
"411",976.416531164816
"412",1045.2726177643
"413",711.669442785129
"414",863.066498304413
"415",1065.44884742025
"416",1306.84228204681
"417",925.892970714878
"418",841.424594391449
"419",1067.30539068032
"420",936.076525812308
"421",1116.5213837358
"422",887.22597791858
"423",722.818141664376
"424",912.99606658012
"425",1306.26406414822
"426",1148.36104660417
"427",820.689913634873
"428",1112.33033030611
"429",1188.87353263788
"430",1252.04485130592
"431",835.357614267036
"432",1076.29785076819
"433",894.371544053793
"434",971.939397488389
"435",1016.16884160629
"436",1200.54212598994
"437",909.176450118797
"438",941.119614148289
"439",823.017130668775
"440",902.807082681059
"441",832.773049073764
"442",1024.16806150285
"443",1118.17859024543
"444",987.371480497081
"445",1076.11152514016
"446",986.327004583226
"447",976.837493879083
"448",998.651534541383
"449",1003.55201715047
"450",846.602651954265
"451",1095.85759289831
"452",1154.84664334158
"453",1102.72220634319
"454",983.219970805521
"455",843.487017621985
"456",993.299548905201
"457",1104.31074247407
"458",875.518743390886
"459",1190.60068980699
"460",932.252709555736
"461",1226.6602479498
"462",1432.36321982862
"463",876.545081955796
"464",1128.10163164091
"465",978.742217034011
"466",851.357974638374
"467",1015.02281211827
"468",834.74310391354
"469",1064.01226101453
"470",957.886719975112
"471",1056.90531132921
"472",734.391945791884
"473",902.147463205692
"474",973.191598738499
"475",1254.05838146484
"476",1265.5010074846
"477",1107.38863915056
"478",970.358290856073
"479",779.675317882602
"480",1110.26971278368
"481",1338.86634488992
"482",930.962169604477
"483",965.59897343036
"484",1263.37015194025
"485",950.528080076695
"486",1165.61780324111
"487",1200.45837084021
"488",838.877713953035
"489",910.18337848833
"490",1052.92321846047
"491",911.213598009482
"492",1128.5691486829
"493",915.992846313103
"494",797.827489252796
"495",1078.87313654896
"496",1149.04199862975
"497",915.808515989294
"498",1005.49779657356
"499",1000.67464488015
"500",1115.74377387675
"501",891.477597964302
"502",1158.01876077682
"503",767.118759185612
"504",1339.43100144269
"505",919.452362168004
"506",1088.95479889579
"507",840.476589882945
"508",782.603048727813
"509",927.025955425204
"510",869.620017004374
"511",863.426890001841
"512",1079.20785001735
"513",1106.71493557721
"514",826.887709282375
"515",883.786903193491
"516",1030.27017189372
"517",1180.51886418876
"518",884.698774352632
"519",1190.31866720241
"520",1338.61435441716
"521",1118.32461072273
"522",834.327126767496
"523",981.449963134231
"524",967.175352291116
"525",1030.09015985018
"526",1019.91018714477
"527",646.629384109364
"528",851.02833540775
"529",813.346010421573
"530",870.245338596287
"531",1291.20278561606
"532",1066.39757036062
"533",790.652083698831
"534",1143.30032878904
"535",1076.66165249322
"536",850.275326396847
"537",1147.5182767123
"538",787.299060560956
"539",1154.59859952827
"540",767.829684870024
"541",654.949536409672
"542",895.861346182817
"543",766.780649637564
"544",967.287347834542
"545",959.600495030589
"546",879.344180946947
"547",855.793580525268
"548",1179.45660584602
"549",1148.91194283098
"550",891.115301048579
"551",903.752531248968
"552",1158.93514751701
"553",1268.23303596143
"554",1244.09730143873
"555",977.852011301146
"556",1172.37939110447
"557",1034.62831566151
"558",1007.57965263867
"559",870.349503135801
"560",953.014061783778
"561",867.246339023986
"562",1092.89452229434
"563",1282.52328996294
"564",1185.74008908709
"565",1038.96327406847
"566",838.921465795819
"567",1115.36415330965
"568",1032.83078789927
"569",1602.84864013334
"570",1115.75165092108
"571",963.588762430502
"572",949.767030765142
"573",681.14343479202
"574",909.703012136411
"575",1045.57363867087
"576",1179.59193445622
"577",721.520384357707
"578",912.645261240732
"579",877.603912720495
"580",1164.62900186742
"581",943.793646317622
"582",1229.16442277668
"583",688.801721131969
"584",1137.15905123727
"585",773.26976530133
"586",981.429686832464
"587",714.174368118837
"588",861.567869546207
"589",935.842454674026
