"","ds.est","dsm.est","dsm.var","dsm.dev","detections"
"456",1006.42268583648,1039.73161593936,4939.46691052913,0.439705166457808,514
"457",872.248530693939,905.95929733551,1631.66369706874,0.492662281856759,501
"458",970.031508239865,1007.73710379489,3962.09324560092,0.310247482986309,506
"459",985.292746693097,1026.23725192475,3837.70813698561,0.255382201111619,500
"460",992.097110350829,1029.2874192204,5700.2853429716,0.300893735767987,517
"461",1046.35995467048,1083.36102134343,5953.23954080171,0.177010759031438,526
"462",1086.82404909007,1130.32351096361,4525.90695510821,0.33034328837273,519
"463",959.738003332051,996.915965260941,3443.73239940571,0.187091745539474,497
"464",963.511606763081,1001.20649667523,2066.45061234043,0.534354670025288,492
"465",993.721581417908,1033.36042724104,4428.55899851106,0.314093961163979,498
"466",1060.12565095764,1106.40531997182,4113.66405508467,0.227365065938963,520
"467",1004.76833959208,1043.19633973044,4691.54605972038,0.301782125383616,520
"468",957.981826188102,998.981862751711,4555.73406468734,0.173049539652764,468
"469",1024.39167762748,1059.60021959711,4694.51109903289,0.187446042431588,506
"470",1035.13812317224,1058.60039077843,4995.33852097557,0.267226052940326,506
"471",959.478845221069,987.114663577633,2730.42465085146,0.37043982229693,509
"472",951.5080827588,988.500561338496,4469.0165607911,0.264097427876755,499
"473",972.449305191569,1005.47006376599,1991.55964891832,0.507156212751249,516
"474",1055.60718658715,1095.58990285886,3285.23419061226,0.252022040251074,497
"475",1029.87068131054,1073.86882179262,3467.7215790395,0.229786302965447,509
"476",954.422598682701,987.063466936783,2168.31927919103,0.28777897390835,506
"477",1005.98873416852,1042.95477532565,3502.89893054638,0.565156861444801,478
"478",1037.72217017843,1082.72820715406,3247.52705120761,0.366158351856574,508
"479",994.041922391761,1032.27841457836,3074.63452057942,0.330613612846695,511
"480",1046.53432671761,1065.43159517707,5100.30340328288,0.418454719646727,520
"481",1010.72825438817,1033.68284928257,2394.20849274634,0.524540796266469,505
"482",944.286468800389,979.289793612761,2831.99090701026,0.355860806103197,475
"483",896.377803610596,920.465456262412,3476.29886509504,0.376719351429417,475
"484",964.955842732745,1002.44892935519,1944.81774954163,0.479785579448363,525
"485",991.837774746976,1030.04037121708,4522.4399120679,0.288679154436135,506
"486",1137.76520207792,1188.25216564334,4279.17705584317,0.287360810160545,539
"487",1108.56649552515,1150.59652759993,4094.52568029319,0.365738310640774,521
"488",944.292328953412,984.085223119145,1552.96875553302,0.511696767363153,483
"489",1047.52110596454,1073.62506585121,2874.82623336135,0.517630719068473,517
"490",987.445854062549,1027.24842163909,3796.10344906516,0.290496139454602,521
"491",869.357742991536,888.258562619291,1620.31861353896,0.504769536271206,477
"492",993.958652273885,1019.68092055271,2389.25862661784,0.512911784625774,504
"493",953.530071012756,988.312498506679,4342.22721729815,0.383212374209096,517
"494",915.427185774038,957.547368496041,4199.46720518425,0.0403812286355936,478
"495",1085.14445149706,1126.4046197105,4537.90227544644,0.314087699596869,526
"496",933.643526206552,969.601984326186,2041.74087904304,0.546170583432624,467
"497",922.122991182352,961.59978410559,2190.6593517754,0.226839131592033,475
"498",935.370104306975,967.732048798495,2782.61527937888,0.328224013759357,464
"499",940.013118039042,982.281084708349,3205.63228412757,0.297853718098234,487
