"","x"
"1",972.764274396597
"2",1008.90245980331
"3",1018.30733709062
"4",965.00797249835
"5",945.912243768734
"6",1060.03408122821
"7",1012.68212528462
"8",1002.66572040357
"9",974.682451749579
"10",1054.53982848181
"11",964.582765721891
"12",989.069138260005
"13",976.063045682504
"14",1094.89543106189
"15",940.929761906653
"16",993.069375416859
"17",945.952825974064
"18",946.926256927063
"19",983.651918962443
"20",976.463939697023
"21",1052.24759441312
"22",1008.5970277766
"23",997.81072432708
"24",971.53739621098
"25",1004.41253404948
"26",1056.54777569193
"27",972.456326144036
"28",1010.3134812774
"29",993.792634599796
"30",943.335979026108
"31",1018.35378604066
"32",1012.5597903893
"33",984.213489605509
"34",1033.91280435663
"35",1025.1204007078
"36",963.999274447706
"37",1009.92708047232
"38",1040.60150119658
"39",1053.403221067
"40",992.911596193323
"41",983.546465865872
"42",943.275312787109
"43",1049.2588813155
"44",911.291876201952
"45",1013.83396944292
"46",921.705048288207
"47",1046.13280447523
"48",1019.42790102949
"49",959.400677209976
"50",955.791753432356
"51",960.738585680905
"52",1025.58360067579
"53",916.588420140166
"54",1037.1341687619
"55",1062.0601967004
"56",1013.85039858949
"57",1011.04722238141
"58",1087.84276035982
"59",1026.39808800122
"60",977.810686842163
"61",1000.40903178794
"62",985.397993318346
"63",972.210195355786
"64",1008.13377980431
"65",1011.49688799495
"66",989.396990546207
"67",999.349149070025
"68",932.649156619239
"69",1021.62528134312
"70",1032.39580096497
"71",937.367309080744
"72",899.374964487798
"73",966.005332248701
"74",1037.04136277556
"75",1049.42779478761
"76",942.343701453993
"77",939.643364969071
"78",958.011817792162
"79",957.699302050996
"80",970.032902389044
"81",960.569876406405
"82",984.16943535604
"83",1001.23411705083
"84",949.171380806513
"85",1071.84370674411
"86",1074.04897764962
"87",1048.96439380602
"88",1023.06652699756
"89",1061.54739972152
"90",1049.85729522526
"91",1037.53594753979
"92",1024.44924574393
"93",1069.73828524095
"94",1032.6892324327
"95",954.450875354434
"96",1038.5419793194
"97",899.153886999156
"98",980.012522915842
"99",1035.9600576245
"100",1054.06026001684
"101",913.379226689498
"102",1002.33344024641
"103",864.692808198892
"104",977.942976607941
"105",993.995475468948
"106",1028.70304568326
"107",1046.89009174284
"108",956.535329244726
"109",964.829574777538
"110",930.226170125637
"111",925.787119481239
"112",994.97189747509
"113",987.963293068142
"114",964.493192930603
"115",1014.11567270487
"116",1021.10097215963
"117",1030.98634959112
"118",924.385717217504
"119",1060.08627159035
"120",953.997343339111
"121",1029.82695042117
"122",1045.84046603284
"123",1043.09747181576
"124",999.97228812453
"125",909.6060855215
"126",970.000887822203
"127",1025.74424186226
"128",956.857995308463
"129",1038.57070087261
"130",1030.94718620296
"131",1083.07617863899
"132",955.037067002835
"133",984.423005542406
"134",1069.09278617002
"135",886.003443641233
"136",1023.28828610598
"137",921.94967908198
"138",984.629106220396
