"","x"
"1",897.335265228146
"2",898.430587781518
"3",1511.91471803515
"4",1038.9060082766
"5",1166.90955817043
"6",801.044895767932
"7",894.220275360962
"8",1285.90654322056
"9",1225.64433019236
"10",1461.57398671092
"11",1460.59387475859
"12",1125.08075649613
"13",1131.35755878178
"14",1316.07381608929
"15",947.998824676581
"16",1045.54927249231
"17",985.804965657524
"18",883.29525311365
"19",1046.10303850875
"20",1300.75384440325
"21",962.681375569953
"22",971.541862964541
"23",942.428207873397
"24",1112.23297989358
"25",860.640535889466
"26",1224.33519226151
"27",964.422953185828
"28",1243.27663303358
"29",790.316837567569
"30",1003.96689895989
"31",1022.20785260691
"32",1021.21222039515
"33",961.952404548285
"34",817.981611349156
"35",1136.06140432879
"36",1126.29681834492
"37",953.237857113021
"38",1133.43702565363
"39",1322.48958837062
"40",841.57658812696
"41",932.357173163844
"42",1082.37341059319
"43",1113.55514807474
"44",1397.83469976864
"45",1005.51120556375
"46",915.17257077853
"47",989.868903388873
"48",1182.11159990715
"49",1325.2346660744
"50",884.415155973411
"51",761.793204396739
"52",1271.7162484931
"53",1255.44524090927
"54",1022.34913874613
"55",1133.16168194941
"56",1223.96116492663
"57",1169.28920357755
"58",962.668007615247
"59",928.856980133245
"60",947.151730024574
"61",1493.01116723799
"62",1218.52084059886
"63",1181.57674307541
"64",1036.51275450459
"65",1049.05171115967
"66",1292.17549171403
"67",1359.43069099644
"68",1097.39323111452
"69",921.243468156139
"70",773.043751482294
"71",1249.82724295242
"72",1156.94169349522
"73",997.621459251039
"74",1023.05993789555
"75",927.75399486997
"76",993.518372458177
"77",1223.40568445244
"78",1259.78925295845
"79",975.774053930703
"80",1009.46744753587
"81",1045.29608653552
"82",1027.50613122861
"83",892.012490730965
"84",992.090856289795
"85",1015.84411906509
"86",1102.11370248549
"87",1595.5868667766
"88",1566.48157580256
"89",826.635957947327
"90",1084.34645632363
"91",1277.47317118411
"92",1094.21356420527
"93",1360.45197358293
"94",808.066350937778
"95",1308.12151980977
"96",1230.75675288541
"97",1522.30420394513
"98",1170.90706371223
"99",1210.08805353602
"100",1009.22891494962
"101",1015.32596681874
"102",1282.81278972336
"103",1113.63623339321
"104",1089.69810156685
"105",1014.83023625089
"106",1035.360746434
"107",1228.84548915701
"108",946.124342756011
"109",996.794264027552
"110",1275.21630689428
"111",1053.27307293665
"112",947.690392555113
"113",756.056703281911
"114",1004.99250742417
"115",1395.91331611273
"116",1188.08883042284
"117",931.486894154811
"118",1167.55734799215
"119",1111.65044929425
"120",1048.83187153618
"121",945.075489735284
"122",1231.87001310521
"123",1017.91169596754
"124",1100.15351170503
"125",967.411717144518
"126",902.840960795572
"127",1470.08321205719
"128",1482.76787017928
"129",1219.68493998696
"130",1096.98983165029
"131",1046.19434081969
"132",1103.70142020326
"133",1061.56679628988
"134",928.435233699653
"135",1229.48910932705
"136",1184.14859056019
"137",929.687952877381
"138",1134.49402164886
"139",1069.82068866506
"140",1628.58155533104
"141",964.197091433238
"142",1029.23117022623
"143",968.771738293032
"144",591.6267798272
"145",1359.3988008025
"146",941.460402240144
"147",1476.79584033533
"148",1067.14922958804
"149",875.781706557577
"150",1120.57847596128
"151",748.705111392694
"152",744.882676737843
"153",1082.78989070935
"154",1542.76008406748
"155",1188.1953358563
"156",1114.79794055872
"157",1049.95865845391
"158",872.984806521538
"159",1120.32769926744
"160",1000.6771852306
"161",1159.38789710137
"162",939.08537407981
"163",680.736942750063
"164",957.984271328387
"165",1264.16054982554
"166",1062.3720382878
"167",1252.19473314848
"168",990.436651952651
"169",1076.13130378432
"170",965.980834496213
"171",1264.79303879715
"172",735.439819149788
"173",1096.68913819369
"174",913.18482839139
"175",1308.95988093472
"176",750.996874443257
"177",1232.0342451292
"178",908.740687531915
"179",1262.51866574873
"180",1031.81936717631
"181",956.109160779756
"182",1277.51814667802
"183",896.658250534206
"184",1048.61178262333
"185",1486.71023751877
"186",906.083865090393
"187",1122.7822724877
"188",934.410019154356
"189",1026.25452028547
"190",1030.18584255985
"191",830.559448341405
"192",994.859750497444
"193",1208.59778577052
"194",1107.33018403332
"195",1079.58992842582
"196",922.696412799914
"197",700.910407441116
"198",780.269088979279
"199",1014.91216917185
"200",1051.88236422572
"201",1000.01619620226
"202",1069.15516094508
"203",838.01407105001
"204",1136.31369080653
"205",958.539200981589
"206",1245.05453572262
"207",882.048035009902
"208",727.827982944792
"209",1060.95686371812
"210",1000.24359486165
"211",1284.40727507419
"212",1129.968560024
"213",995.957470303614
"214",938.287380913071
"215",1093.80583541332
"216",1238.47965890151
"217",884.566600594928
"218",938.513872865621
"219",893.947202399101
"220",895.092827913046
