"","x"
"1",850.493204833272
"2",1163.23955667478
"3",865.286116238689
"4",944.669505396076
"5",747.731133428875
"6",1195.83104677159
"7",1105.04453583735
"8",776.670301859899
"9",1245.16640278754
"10",930.115885587303
"11",892.137139880562
"12",983.129623503665
"13",979.142858968475
"14",961.621484780119
"15",1116.0009657531
"16",772.468600816152
"17",1206.83895149779
"18",1089.60577383963
"19",1021.40020848735
"20",971.499361528949
"21",976.699251579802
"22",913.497858464015
"23",874.339679801146
"24",1050.43430115757
"25",1013.50165411073
"26",1216.05119287058
"27",963.703154223368
"28",937.258348913682
"29",1137.87364584851
"30",1103.7945829904
"31",1134.58051950338
"32",796.093559936773
"33",1389.12217027582
"34",993.287189652904
"35",1057.31251593582
"36",1132.46422050615
"37",840.893291074076
"38",935.267951127925
"39",1136.67153607792
"40",912.424642265691
"41",1109.79204091177
"42",1016.44334742961
"43",770.326740629165
"44",1196.79786303577
"45",809.325673022877
"46",1186.12208345456
"47",847.721535192455
"48",1100.18147625941
"49",1079.46724637072
"50",1048.13250766862
"51",1067.91511785336
"52",1010.78402998479
"53",1044.54684809249
"54",1046.18570374938
"55",1036.51574943338
"56",1246.38166795104
"57",1143.07729643488
"58",815.155391472374
"59",926.769405181344
"60",1167.74450842291
"61",1042.6044404307
"62",872.675362390902
"63",884.780435246515
"64",1355.28956562821
"65",1097.63971905842
"66",908.460758872971
"67",1252.3974536387
"68",952.340811449861
"69",1311.35407533977
"70",993.988433559699
"71",881.215973654291
"72",934.325191257912
"73",1225.68633741282
"74",875.224569289752
"75",902.62913821279
"76",1076.5700401733
"77",1330.03970442551
"78",1057.54606081605
"79",974.585944633016
"80",1137.0833643257
"81",860.356963416755
"82",1071.25913777518
"83",1207.10220863389
"84",1073.56252226254
"85",1312.95075508258
"86",989.786899315578
"87",1101.8995334735
"88",836.960705775257
"89",786.000759911938
"90",1063.77514717418
"91",980.074570544236
"92",1230.9867243888
"93",1012.82615523843
"94",928.036130334279
"95",794.956775460315
"96",825.694282639741
"97",1198.8902049652
"98",1019.93779398991
"99",1118.56266088591
"100",878.798954630589
"101",804.436098532767
"102",1389.25632574718
"103",1015.27416534347
"104",1004.94303172894
"105",864.122528538152
"106",1205.54965813919
"107",1085.66423696003
"108",1217.58786263047
"109",844.10105834988
"110",969.401285677046
"111",760.466528708566
"112",684.713890523618
"113",1182.68877408556
"114",838.101009044896
"115",944.401427938301
"116",1062.90393399697
"117",1064.23935287815
"118",1038.92857287856
"119",1104.28166232577
"120",1183.6738550812
"121",1024.51530899692
"122",931.376776057154
"123",1099.20731017656
"124",890.923855043729
"125",765.348875237937
"126",905.807760693015
"127",844.330474440512
"128",1234.99148492411
"129",1223.70759351866
"130",1093.19395004963
"131",852.668296103185
"132",1179.94271989206
"133",1062.40156623414
"134",1084.1352590878
"135",787.928173680359
"136",1183.60541133304
"137",1228.78168045557
"138",722.526109244395
"139",1067.9567179789
"140",1135.87558135898
"141",893.742653571393
"142",1070.88449436588
"143",1068.03212793714
"144",647.400534988389
"145",889.690370212805
"146",1020.4668319721
"147",957.081825864337
"148",1176.89268648159
"149",1025.51537796802
"150",832.991744131686
"151",946.119452581672
"152",907.896064082289
"153",981.675246704299
"154",1023.56742034984
"155",1141.40022435567
"156",1035.30905468172
"157",1036.82718399702
"158",984.26311322521
"159",1494.61751213544
"160",1033.24107686947
"161",736.72344518857
"162",955.128534227489
"163",1001.09361208991
"164",853.674962169725
"165",865.951471588132
"166",876.849915649111
"167",1099.44771588612
"168",1196.30884573608
"169",920.014585329954
"170",834.235753169863
"171",975.634118322711
"172",1271.49169980149
"173",947.443711847408
"174",866.961660826501
"175",826.502330175795
"176",953.502364044654
"177",1103.32888313942
"178",1194.4678593035
"179",1003.37156288136
"180",784.972802451262
"181",1133.32255631138
"182",1041.21372233628
"183",1072.93703121287
"184",961.682480053937
"185",950.051614835481
"186",1008.28844148737
"187",1008.85130737864
"188",975.133338901897
"189",1220.02832024563
"190",1140.91886638461
"191",830.582163626258
"192",968.817070569167
"193",1117.77798934036
"194",1123.65152683866
"195",888.33445262778
"196",1145.04699632155
"197",1216.34203789912
"198",981.613256335492
"199",784.032456948314
"200",1096.16472648351
"201",981.691022349274
"202",891.68404494116
"203",1075.02570061834
"204",1103.07758087284
"205",931.783394822248
"206",1015.29502922188
"207",1023.97461472921
"208",926.144719510147
"209",886.783122643844
"210",926.393676013997
"211",845.637934071494
"212",969.107843024836
"213",901.805216609198
"214",1087.06678645548
"215",652.288345649439
"216",691.710461019385
"217",1275.49484573219
"218",942.529870087271
"219",857.421294514554
"220",1147.45870174795
"221",898.801817351158
"222",998.309624679758
"223",1226.48398074373
"224",1140.08570263502
"225",1009.24171745876
"226",966.368173940606
"227",918.799114717311
"228",1261.10925728604
"229",1006.70423114784
"230",1099.20476826046
"231",1210.22288470959
"232",902.659028158091
"233",1247.15232453358
"234",998.758391794389
"235",1131.70336952601
"236",929.421957499209
"237",1191.70768553425
"238",993.890806677583
"239",1051.04137325546
"240",1059.5263459788
"241",1202.13375903158
"242",978.398575061159
"243",1163.33325460479
"244",807.612226722229
"245",840.689225145047
"246",992.79123984346
"247",1309.383082345
"248",1015.5917662641
"249",874.854861250173
"250",1055.92198601152
"251",1102.61515249771
"252",990.598037331847
"253",935.265125732362
"254",1262.09743956883
"255",1038.40165254264
"256",906.488865641641
"257",1023.10514190138
"258",1122.29854002739
"259",885.590996220465
"260",748.970196150473
"261",957.142441810395
"262",1216.47138050561
"263",958.160427256713
"264",1148.68887759488
"265",1339.53774554249
"266",1268.7611472683
"267",906.109986415268
"268",1219.99551120262
"269",898.080975749528
"270",1141.77567465502
"271",949.220066234299
"272",1198.10357296928
"273",825.08854388905
"274",883.673162436792
"275",1077.98217339579
"276",859.320525015156
"277",1258.74346438288
"278",1022.32458443934
"279",1014.83145028365
"280",802.293956264572
"281",833.117181252395
"282",1269.97419801109
