"","ds.est","ds.se","ds.ci.lo","ds.ci.up","dsm.est","dsm.var","dsm.dev","dsm.se","dsm.ci.lo","dsm.ci.up","detections"
"289",1234.12700201496,423.926250083313,633.759767860966,2403.22837507187,1244.49390106215,44840.7568056166,0.400446457611749,395.162396248039,677.916329517482,2284.5961991847,35
"290",759.792137292091,305.192333240416,346.418100391043,1666.43743857274,761.566864020271,30998.1583306115,0.0344794581068645,308.737825697875,354.546227030205,1635.84899275845,19
"291",918.214107621248,291.703879221879,493.484929112705,1708.49624313882,922.476599545948,28777.8104781119,0.375409196117068,290.023132534911,505.384353486325,1683.79387062461,30
"292",1110.32753938281,329.00736540477,622.538596584405,1980.3225879903,1145.85021530498,39495.9403000994,0.00863063019308432,319.751852064423,669.941750291344,1959.83115747525,34
"293",974.912098626781,326.565027004138,505.705083307936,1879.46222298525,1003.93008063483,34144.9870463889,0.0227079269268718,347.6873049569,519.06035021037,1941.73106536644,30
"294",1036.48548235336,291.890029739765,597.025921808156,1799.42296621834,1092.38859414926,33130.3708538516,0.0568720907680799,311.524617938092,631.484674358828,1889.69406397554,37
"295",1110.29794481842,348.722186359287,601.662285768708,2048.9260427766,1120.39772066886,37419.2433863037,0.164139778852019,339.815150797653,626.415430766003,2003.92741115104,34
"296",1306.20322543213,370.477563169316,749.986884411064,2274.92893754946,1362.38857861366,97275.8459765102,0.102606049955575,425.536884140053,749.194024682825,2477.46588732171,34
"297",1314.75517345515,379.318737752342,747.157089114881,2313.54448925172,1359.74358199555,49503.3389672381,0.182890916888101,400.474391739733,772.599792059839,2393.09229406947,38
"298",1329.21109711813,414.32655435411,722.064364418746,2446.87624506197,1350.91581343357,66502.8551943465,0.350297651130766,420.919962531041,743.924838737263,2453.1692450041,28
"299",717.845845899503,299.045223377464,319.350494132815,1613.59593281501,711.356593524575,34388.6473110793,0.121192901306741,286.58083210945,332.642634018554,1521.23676101802,15
"300",1255.29242351513,335.200110250124,743.290250688009,2119.97812035868,1300.90452076845,50671.1755504212,0.136199089060345,353.053794307396,771.487460178892,2193.62291613058,34
"301",574.274061619702,220.223616250191,272.723097128701,1209.25107305289,584.474367300726,15214.4696935459,0.471851818483438,213.846614252523,291.781703150645,1170.77350067839,23
"302",1010.63190076427,251.023708928865,620.148484715686,1646.98755865003,1027.31394403712,30778.3995810401,0.190232303474163,266.112752677345,623.419339349328,1692.87969268744,35
"303",554.810910835518,210.486346936168,264.489635188797,1163.80797516853,559.769694792583,12291.186049817,0.23366572073726,215.889249767082,269.795695154726,1161.40515521748,26
"304",1127.00575222472,333.960808242059,631.340582857718,2011.81739307555,1154.75149554104,66961.415497069,0.033300063915193,370.750482869524,624.988989318821,2133.55921343126,33
"305",1262.43854656795,383.932743715221,696.767003531344,2287.35154762377,1269.2112381155,56193.6939981172,0.0231058742288158,368.132878101258,727.131096480403,2215.41503967585,29
"306",797.350585407185,229.255409459165,454.38596178228,1399.18045345294,832.642301794841,20070.7768133268,0.0818189084071936,233.85809812662,485.189202863173,1428.91308925876,35
"307",1479.8745413434,482.083513704281,784.063663130864,2793.17708637497,1495.89326332557,84376.6879219504,0.362908159185722,460.82463417417,829.087043508671,2698.98881279456,27
"308",522.842559712116,191.599617927162,256.523640642413,1065.64970605333,518.793771397171,10143.4547113764,0.129672753671508,181.987283823519,266.086154073179,1011.5031282931,27
"309",1395.13572625385,380.372882928921,818.606560098149,2377.70351417227,1385.64025926086,47825.9746932663,0.163138108900749,363.332060455092,835.900865901051,2296.92180784483,41
"310",826.87650455284,262.643937013181,444.281558093142,1538.9447104581,844.486116947751,30180.8561995032,0.0331841588095877,263.055416851416,465.114268920053,1533.29375031509,24
"311",870.858304862018,343.881072043169,405.075208705191,1872.23056570489,926.471060061106,38246.6905172138,0.0331161816173213,347.981161070318,454.579615063266,1888.22506924621,23
"312",1186.4723167307,399.360577251206,617.297146714945,2280.45207378606,1247.10278642413,49909.6149334874,0.450827695333233,359.041936554352,717.303088771696,2168.21227212341,32
"313",926.668115183607,252.416022824708,542.470385866646,1582.9689842443,930.54694608672,19904.6700852866,0.428990378413109,224.572874998584,583.733276114569,1483.41315169664,23
"314",645.024353496786,193.193497364462,358.052398845635,1161.99868495594,647.422319062814,14649.5135676879,0.107920619571026,202.529172964942,355.714644597678,1178.34805394292,29
"315",782.394447099827,234.987947948805,434.150958988454,1409.97286353783,801.780759334093,22462.7030752981,0.0801843405110627,245.129077268757,446.281131389567,1440.46508091599,29
"316",1783.46006896473,522.032516714648,1006.34500753858,3160.6753089295,1816.33723963984,85610.0910592516,0.0662921436069712,528.729748275979,1038.56965443806,3176.5620668818,39
"317",1342.6909010403,391.294905076795,757.683553821842,2379.38232477501,1372.92682251008,68598.5080381871,0.0166654124830684,409.115412928725,775.130555943608,2431.75558686757,28
"318",606.434025000126,229.626844689479,290.371111944444,1266.52484200362,612.933472952273,16751.2375655513,0.348481492207276,224.465745317048,305.805155957791,1228.51899304533,23
"319",1035.50007973226,314.747269429796,572.060365466827,1874.38333409186,1034.01052086234,35169.3778584777,0.495746954427213,295.286362953704,597.29987105714,1790.01839622316,31
"320",453.479597732728,174.661385544307,214.050130332836,960.727028010084,472.161646524113,8122.30288127436,0.121442122962695,184.602292028283,225.453123962323,988.838018876234,28
"321",1395.388423838,405.347161276119,790.693482810037,2462.53307471472,1408.95865035788,57480.4574797275,0.463139051319791,400.017927193164,816.397083317559,2431.61632860232,35
"322",779.525499260375,256.993808597017,408.814362143905,1486.39592995326,770.816915703681,27524.8543742725,0.203392005781519,254.026444445602,410.801850549237,1446.3389508605,22
"323",1019.0847088459,324.480200064701,543.631540611712,1910.36311586141,1051.64236046355,40428.6659174032,0.447124245795955,362.927962224052,544.925497009336,2029.54653506038,28
"324",1095.22825929786,327.00257529076,611.671318972449,1961.06128039435,1102.05269538284,32441.1856282306,0.292990512708848,314.093272161202,637.271490232717,1905.8127689928,38
"325",887.648491124334,251.440242246293,508.187379739219,1550.4514185292,872.893000258356,24395.1470307011,0.0941466345667705,264.507809770539,488.281092866569,1560.45810708515,32
"326",932.858294414339,260.41907638067,539.140976875705,1614.09470765984,960.516817890577,31331.9310054759,0.256777993171516,276.443066963231,552.561995439138,1669.66343155292,30
