"","ds.est","ds.se","ds.ci.lo","ds.ci.up","dsm.est","dsm.var","dsm.dev","dsm.se","dsm.ci.lo","dsm.ci.up","detections"
"1",1732.03485428776,247.661650524415,1286.80181924336,2331.31838299048,1719.13079312901,23410.101250019,0.203523112323417,181.259374545266,1398.97201531511,2112.55883000541,FALSE
"2",1391.61201301842,141.281953451394,1134.41442669948,1707.122149717,1338.25980859981,15035.3783717312,0.168914919679939,151.970719716285,1071.98514407401,1670.67549882944,FALSE
"3",1651.96532484141,160.934891250256,1356.27535690882,2012.12048908579,1627.72816685503,13275.9786778875,0.0940649894650641,150.982937252076,1357.67601735793,1951.49575546692,FALSE
"4",1526.15731107364,158.907370622682,1234.69151783969,1886.42758493943,1426.45419423516,10966.8916419695,0.0293254477458608,134.877020534295,1185.63852897486,1716.18205593438,FALSE
"5",1379.98301795686,276.644289378734,913.114460921719,2085.55795724341,1042.3888088852,42884.0140005785,0.316508908555095,225.654926619577,685.280654514525,1585.590402605,FALSE
"6",1760.62805413626,222.261355953836,1357.93615724392,2282.73702594609,1830.38107191211,29355.5166885937,0.205730496710032,204.506023881295,1471.40666823367,2276.9333188057,FALSE
"7",1625.54845942388,192.163091348582,1275.98139683467,2070.88269506934,1655.13975644539,16746.0656566597,0.125272468896404,164.634647758781,1362.62090273341,2010.45471111642,FALSE
"8",1333.96049099852,145.010112319364,1071.92487115236,1660.05159450404,1362.85464388519,24488.9676343154,0.0826222450671811,185.331861210884,1045.26451346442,1776.94043606566,FALSE
"9",1559.93914558447,176.676536863477,1238.26251160072,1965.18114303654,1690.026518272,28020.2830740918,0.207917085348546,198.441900993833,1343.65538539443,2125.68614207887,FALSE
"10",1458.24655424044,196.073806331509,1104.77263989749,1924.81505801177,1392.50462825113,12576.2798653198,0.135175765602415,140.505335376561,1143.21214715073,1696.1586215941,FALSE
"11",1380.30722294082,151.922042053361,1102.21968220567,1728.55562322201,1384.70427036988,10426.9240091386,0.127109674581318,131.037389873009,1150.76213008879,1666.20526192727,FALSE
"12",1610.13440357174,202.896955376929,1244.84447005615,2082.61582866524,1776.94420217993,37045.8156278267,0.155563678743777,227.276416941317,1384.34378304762,2280.88624829129,FALSE
"13",1416.26535238669,187.743217695869,1078.15362527984,1860.40977958996,1422.59211844429,13324.1998683675,0.104982372543092,146.585291622442,1163.06298599946,1740.03330844607,FALSE
"14",1112.15087202499,145.274142686214,852.764200792656,1450.43560810391,1104.15197955867,10483.723355147,0.130206728204891,131.455659737313,875.073998046665,1393.19828572751,FALSE
"15",1337.22397271171,149.133562990773,1067.61996225538,1674.91056407124,1405.95390141727,13218.538387629,0.107760328999634,151.905709327955,1138.3349681798,1736.48919532992,FALSE
"16",1791.15665357781,252.734284986549,1341.91862340078,2390.78741565231,1795.17717182154,25450.0896209288,0.198204283932565,206.282784536762,1434.2234630237,2246.9727774743,FALSE
"17",1324.12058030339,175.929221579218,1008.71933136283,1738.13989349663,1346.61522649519,13689.0608572727,0.124766642606644,148.987841813915,1084.81065114133,1671.60284269042,FALSE
"18",1471.10683153831,171.967555293588,1158.9276828381,1867.37735395092,1645.26393555894,28219.1904902789,0.174264470396126,198.487105859912,1299.9183651371,2082.35646964292,FALSE
"19",1659.92327164083,173.786706933793,1340.05641033519,2056.14125381899,1643.40333867938,17278.3738824468,0.0986206119392602,160.786254178114,1357.26019249975,1989.87235351561,FALSE
"20",1381.60656040117,205.082232425885,1017.73991189691,1875.56434156717,1414.78583465086,16599.3380574055,0.0882206624801572,161.788874873182,1131.5322162673,1768.94562006522,FALSE
"21",1224.73846944645,246.051653171874,809.063959843226,1853.97495499947,1649.91173399484,51794.4756768019,0.226511392351895,265.641874250579,1205.84088036625,2257.51902618118,FALSE
"22",1312.03133282512,195.120484832087,965.136558464412,1783.60896519529,1307.92976038626,12902.4017617299,0.219608847165128,142.718040475218,1056.76430079966,1618.79073395038,FALSE
"23",1127.79670710945,199.263258623787,785.045649316169,1620.19293231528,1275.9860526078,18830.7571813829,0.17611211777917,175.135957509673,976.244583341102,1667.75870947984,FALSE
"24",1173.18193385909,160.179498101095,888.551093547205,1548.98897759358,1281.86198205034,14220.32051259,0.0435525572780713,154.488690234676,1013.03614043393,1622.02519282499,FALSE
"25",1869.19417483376,188.383244643537,1523.03598390272,2294.02778408395,1832.25160014243,17097.6575060371,0.0922101221704053,169.652112313712,1528.75776278619,2195.99599619108,FALSE
"26",1424.14845405076,262.003271842756,974.099419919016,2082.12711936919,1709.1930419088,29490.1233057346,0.247357734473104,217.072130749203,1333.88496939646,2190.09953746707,FALSE
"27",1752.87196537166,242.721278652799,1316.16218013062,2334.48443768608,1594.41412981768,15523.5040900833,0.178634704945583,156.891206275823,1315.35851637064,1932.67188049738,FALSE
"28",1300.94180461546,202.27148833948,947.005295046985,1787.15957328639,1440.32574863394,16384.2794146279,0.110780479902598,173.699894975287,1138.09404480504,1822.81795748547,FALSE
"29",1317.4392757293,203.924913352981,960.59486468512,1806.84522585189,1539.01750491566,24843.8323794171,0.175724782354608,202.131973910462,1191.03859934375,1988.66340834118,FALSE
