"","ds.est","dsm.est","dsm.var","dsm.dev"
"167",1008.35827729593,1008.95280509093,3598.75600349252,0.324330607514601
"168",999.449924602526,1012.63291696297,3142.09128181794,0.373149881136946
"169",1028.40238157442,1026.94186930895,2538.12843279523,0.417869157328886
"170",1125.80589213416,1112.7591679427,4351.47972708623,0.346468214763873
"171",912.779954374606,926.627845464411,2314.4220856282,0.397474393751177
"172",888.503694570221,882.02245435019,2438.56988262348,0.322629463926577
"173",968.919205654945,948.428286582115,3645.92473590917,0.340382848038832
"174",1065.71422533984,1079.77017177614,2657.06431927611,0.290846804318595
"175",949.902907684691,974.76877938511,2366.39006411013,0.43817022078593
"176",1006.1329305681,1001.14726032699,2462.41881016266,0.480566411891905
"177",1041.60571458375,1028.63056064833,2962.30314870753,0.369038001946856
"178",1011.26855908128,1028.43804357991,2609.81322124675,0.468157167815597
"179",935.800620720654,951.667404849144,2319.00323519415,0.423883486313163
"180",983.295386659358,974.793558536658,2475.52103162103,0.21587598940965
"181",942.78681053205,922.915329559629,2825.00971301017,0.397675199433623
"182",997.199618744934,995.607304514471,2454.27460279686,0.514869958873867
"183",1029.618016537,1029.20355904339,3639.61833171425,0.305584836509664
"184",1048.84529438629,1042.80122899471,4052.46119108177,0.263839262859941
"185",986.778165363648,980.776470627563,3509.78303080294,0.326137132966871
"186",1004.4667123434,992.121658309759,2113.25761105307,0.377950197719465
"187",987.715593060796,1015.83208708481,2480.25926056086,0.473597617929077
"188",961.584262983757,952.333267507109,2896.08236086941,0.267257592075886
"189",950.294922409842,976.868387436044,4046.34018872757,0.355394256516721
"190",1053.58860351218,1046.33700364785,2822.42222591196,0.330837737992691
"191",979.712495284726,974.347502237982,2289.66792703432,0.317678110523382
"192",1096.51010226949,1080.61210583018,4000.79307152778,0.316984699864448
"193",1034.87165317867,1033.89175814365,2336.42556111402,0.321674015349774
"194",941.563220581359,933.834190941114,3413.84931095604,0.323039899416897
"195",1072.78759472691,1066.34843297603,3421.75468823067,0.254772787746909
"196",1042.08608657432,1041.95164614828,2541.24239034182,0.211019183606786
"197",935.758297542579,928.359260985772,2354.43909293396,0.505219142760918
"198",1087.29874930768,1086.35970459934,2697.6314577012,0.501109644396645
"199",985.388072742234,1006.21571813961,4195.46914728818,0.192318084691389
"200",970.379836535211,980.983749878162,3202.10045515657,0.415549461304566
"201",979.274375643754,982.137415597146,3001.3857497137,0.269450293500271
"202",940.393036334691,944.264247057705,2279.41603917632,0.324128825620252
"203",1005.41324932775,1017.40793826319,2446.04667871629,0.425780562633691
"204",1057.40686751981,1084.21845097255,4804.45215461594,0.0431552615757902
"205",960.814281295659,983.386786583792,2517.49910330272,0.253310200783978
"206",1033.45575870635,1021.99498362885,2007.10091658944,0.452507937769991
"207",1062.74214089867,1048.91347497455,3241.70243764058,0.296085879409821
"208",1073.27170415225,1062.3689983813,2725.48733519818,0.468628373082712
"209",976.31417557523,969.834252065812,2191.29392329656,0.579922864989857
"210",981.097377156947,990.022199678149,2687.79157070179,0.254231523261814
"211",1018.90883361971,1015.8800037688,2380.12837198367,0.432576407889577
"212",1144.51099076043,1146.25497568836,4772.73551444401,0.300237613308247
"213",947.550554850658,950.379456497784,2692.565971067,0.272303689520918
"214",958.192615340288,963.828714007033,2257.51443466491,0.329113424663704
"215",1093.77040724425,1077.98940231629,2886.11430309196,0.330520155810091
"216",948.530110513408,964.56637580957,2204.56936980112,0.425458696636921
"217",1007.01856076092,1009.75658131995,2844.81946192105,0.331829331687954
"218",1006.16876925809,990.597646139081,1826.43962610453,0.485862293620577
"219",963.475733206297,968.962547314348,2703.75204312751,0.238741548130955
"220",1018.12299051547,1004.47179755618,2580.02918910519,0.378411994828873
"221",1062.30220069617,1066.25345900496,3344.42374342878,0.199252047342752
"222",1145.27637620355,1141.04076452433,3947.78501741378,0.299463284682848
"223",1016.79244966193,1010.29640170957,3019.30889536045,0.474868373740193
"224",975.935491665208,983.717325455446,3528.01892751341,0.45308402127242
"225",1064.33130292256,1057.41001191253,2362.99044299702,0.297501257228305
"226",1118.34179499244,1134.25800702619,3033.49486401759,0.497482096476653
"227",1076.85280989604,1077.33303186598,2605.42961756422,0.352334003611112
"228",964.887985087205,974.075480957217,3376.02476593129,0.22447295799714
"229",1033.30786849587,1040.55249890407,4117.59041605846,0.35298849323018
"230",1019.94936147933,1021.95504214632,3529.23904882454,0.403452934041769
"231",1012.33175535559,1018.7837158838,3048.12178879657,0.280635595910916
"232",918.441001623364,910.080148794784,2406.07126776034,0.46266396073437
"233",1023.78388492362,1032.94392566772,3084.01379705971,0.218854246296621
"234",911.01787838872,907.94265012229,1381.41117342051,0.480523551442189
"235",998.713404562939,1002.17675164238,2530.00061526012,0.482916772743105
"236",1033.46797214775,1034.97093655264,2474.48421310961,0.396636422748753
"237",1049.87444304035,1057.54627496727,4428.33915416387,0.331932817824336
"238",1067.28371787433,1090.90207813527,4024.13789077685,0.333430600786032
"239",1085.76736830939,1073.71257500257,3950.25630257194,0.252954100633243
"240",966.065665949582,982.996463968569,2482.3699597864,0.327211369128323
"241",1093.05318210246,1124.24355507869,4428.66907999071,0.299407997084896
"242",925.798546206534,909.161098678757,3144.83970528446,0.385029673249677
"243",1053.8160641991,1048.97131128815,3078.35099475725,0.284575537625169
"244",984.538103623047,974.369361421082,3231.41868401342,0.400799606497355
"245",1028.01063940926,1023.76128766786,2671.77689661389,0.291236905655281
"246",853.374549262339,861.189474211651,2256.91072855282,0.258289577491831
"247",1045.64432670455,1050.99857830153,4740.53650427122,0.318543931394994
"248",1020.74491628119,1009.42404847607,3021.41709577191,0.362765057074366
"249",996.95670363009,992.216996348238,2752.8963196749,0.344033368512234
"250",1073.97176081374,1063.31847482344,3226.8160875335,0.375489918756558
"251",1054.15590620658,1082.77726049794,2772.34757398352,0.299343855333922
"252",989.926833713413,984.357615301164,3238.33246876048,0.228381613030521
"253",1003.59032290005,987.702268898306,2385.770345997,0.381884264423686
"254",1036.28630736257,1029.67841628181,3101.99222233755,0.281999177286898
"255",1096.19315521852,1081.27720758004,2947.16086233312,0.42291398815989
"256",1022.1065910062,1007.75150912639,3349.10186957907,0.206241520207696
"257",1081.17525212649,1056.9421347642,3734.47866995853,0.414496986146982
"258",994.695624765736,997.423061676241,3006.42987834236,0.424136698389401
