"","ds.est","ds.se","ds.ci.lo","ds.ci.up","dsm.est","dsm.var","dsm.dev","dsm.se","dsm.ci.lo","dsm.ci.up","detections"
"1",1073.11142768433,129.913327307382,837.115955237334,1375.63754342756,1301.23866382097,5993.49155826233,0.280411434966491,96.1700452525626,1125.98667681453,1503.76740248188,FALSE
"2",962.617238005422,122.3242414373,741.619234719219,1249.47129675785,1114.84645978864,3627.21229650323,0.350893928310298,78.1575628884493,971.882467308916,1278.84046755646,FALSE
"3",1047.34994727985,125.854812110772,818.365752225721,1340.4054471778,1307.95091999311,6740.30255531442,0.270743386095545,99.1122506871894,1127.67117709167,1517.05181782061,FALSE
"4",1026.4928600704,106.912945298408,829.449004787896,1270.34644166576,1154.04159936467,3990.27394347851,0.348428277693423,79.5079838561366,1008.43319230469,1320.67451094149,FALSE
"5",979.439311208307,94.0689479939575,805.260656429559,1191.29297660418,1148.26256786333,4057.36056923785,0.298217460960237,80.5400406663002,1000.94565299941,1317.26125270146,FALSE
"6",1018.96560311963,120.055210455217,800.164752965086,1297.59639685886,1152.24536289775,3935.68997873995,0.372722898950829,79.8129777174962,1006.13217377677,1319.577497791,FALSE
"7",925.102329746505,117.218218744155,713.479618291276,1199.49371861808,1062.63106229286,3701.53008194001,0.351262945802644,78.3544458510671,919.820632192642,1227.61409673747,FALSE
"8",963.836318875758,108.079884490757,766.495673055534,1211.98394490697,1086.48047192535,3820.31603158038,0.322818163053446,79.9003279377163,940.824282032043,1254.6868085989,FALSE
"9",1026.71828978509,124.075768467344,801.25095319548,1315.63081750499,1191.50682878663,5236.20056217375,0.352403814702343,89.0660546652311,1029.33603976253,1379.22745168107,FALSE
"10",1078.30723313393,128.395630826947,844.642283198579,1376.61411482472,1213.34316795783,5159.14239517178,0.363514367289927,89.1403710805863,1050.83076483822,1400.98833465023,FALSE
"11",1046.74527960643,136.187159865957,800.936150284973,1367.99379075161,1151.57142259943,3916.67873071538,0.373446913137688,78.830441667458,1007.14093441704,1316.71417180086,FALSE
"12",971.180534834341,95.5399866282773,794.654796243785,1186.91995027205,1078.39641495679,3608.89530656835,0.358595033747115,76.3227561059512,938.880834621235,1238.64369673795,FALSE
"13",960.269600554824,106.682846257905,764.980433401367,1205.41345306006,1068.54484469767,3727.7891822158,0.346098392507296,77.1230572135466,927.761622938525,1230.69122164544,FALSE
"14",946.431948107419,106.666091149151,751.681523695059,1191.63954967953,1045.80547540264,3394.89697025221,0.349107982533275,75.6127311693035,907.796345675485,1204.79565443537,FALSE
