"","ds.est","ds.se","ds.ci.lo","ds.ci.up","dsm.est","dsm.var","dsm.dev","dsm.se","dsm.ci.lo","dsm.ci.up","detections"
"1",1251.26569527428,184.003124438862,923.342779502271,1695.64962755675,1277.17139254727,12155.7176341863,0.173042688221031,145.240646593249,1022.72966371673,1594.91488690497,FALSE
"2",1505.96667108567,177.607113726527,1183.06720617409,1916.9964331571,1556.5028163698,16655.3867773667,0.124183734492038,167.165724901995,1261.81099268737,1920.01895007058,FALSE
"3",1711.90519398064,229.590253972486,1295.1522357356,2262.76055610821,1742.77541274935,21403.8200500819,0.132809358880342,182.500727809329,1420.19457605586,2138.62677022659,FALSE
"4",1584.90341266453,178.621022114658,1258.83399656062,1995.43294377076,1614.52593211231,19132.4799987207,0.0719951269947881,174.977015595278,1306.36269721274,1995.3830517549,FALSE
"5",1754.93551680632,255.58150358181,1295.36477648223,2377.5531989622,1778.20219647007,18433.8422559539,0.142032650258798,178.25622273872,1461.72437704358,2163.20060142003,FALSE
"6",1497.35962485155,190.462799218301,1153.66900065474,1943.43944828468,1527.43392031375,15618.9517722526,0.0208557480120025,166.132163043556,1234.96062113111,1889.17309670018,FALSE
"7",1560.95825043755,204.825332006569,1192.91174017186,2042.55736409973,1587.38276783816,17935.8564142324,0.0486026129599152,178.183750655157,1274.77403319415,1976.65153667729,FALSE
"8",1600.43318299583,192.655814271886,1249.86101211369,2049.33696499782,1645.16078716242,17660.1681695369,0.108959087081793,172.291961774489,1340.62698512537,2018.87180076698,FALSE
"9",1547.22236134049,240.669939483933,1115.94177159724,2145.18095510099,1688.42478860268,20380.6005272947,0.231890513930388,182.704870397143,1366.59845649378,2086.03943113042,FALSE
"10",1163.5299358934,167.266566986515,867.61333896917,1560.37470946282,1178.29370631697,10554.9431961278,0.046314099017698,142.627351684452,930.237292841674,1492.49666620546,FALSE
"11",1591.8948899966,217.524875231166,1198.33700438341,2114.7050717183,1637.55096629851,17798.0612164538,0.0985918097276135,170.065040780119,1336.69317267046,2006.12468295018,FALSE
"12",1764.44167781201,218.165630014096,1364.15218422639,2282.18997146977,1787.34198413825,20852.8200285709,0.0803877127548348,177.678779373191,1471.62811159379,2170.78713235743,FALSE
"13",1309.72370979464,228.221144444587,910.229352257789,1884.55381244662,1326.33904458903,13312.570150704,0.150530681224528,150.907510137309,1061.98465674765,1656.49781286751,FALSE
"14",1610.27627390186,246.097004683541,1169.60757796311,2216.9740750201,1623.74078530561,16160.225761887,0.11748947179392,164.290279108723,1332.32825799671,1978.89230528608,FALSE
"15",1567.48175564819,251.213755208297,1120.80112771483,2192.18110468842,1595.53064915864,15358.4372704649,0.120387955313003,162.788978831891,1307.02354750828,1947.72164377432,FALSE
"16",1502.9008338459,254.324009002818,1053.08764192727,2144.84609489955,1603.47819646118,19267.9256337763,0.166411226109217,180.35919241359,1287.12492256842,1997.58568996998,FALSE
"17",1444.37342592363,187.314965497427,1104.64217238697,1888.58858159142,1498.74974214437,15906.2589326524,0.10055621948583,163.908890833834,1210.36147320077,1855.85119760766,FALSE
"18",1504.01081912636,271.886873288204,1027.01616636835,2202.54424236378,1581.17050441999,18257.7617492302,0.232093560232545,175.689762517454,1272.59001748187,1964.57628120863,FALSE
"19",1448.70684618585,216.008752546538,1063.21827509434,1973.96110972559,1522.66693536538,17282.0439741386,0.114028470071399,175.317050160696,1215.96660321726,1906.725554732,FALSE
"20",1488.7394011463,244.251650245998,1059.46472636972,2091.9478953488,1519.07281240823,15916.8166315207,0.0558813155491944,172.809366013823,1216.34622223567,1897.14257931961,FALSE
"21",1524.12049154552,225.713518943723,1119.42339290616,2075.12482539634,1547.42160713179,15125.8349666699,0.182616972063718,160.27774525472,1263.80073376942,1894.69238799732,FALSE
"22",1406.44622870695,234.054222594649,995.663100475793,1986.70714350943,1450.28050972598,13361.7548460604,0.16910522054578,161.152546816285,1167.23435413373,1801.96337559997,FALSE
"23",1263.31374839512,238.621573090772,849.258227693833,1879.24187819525,1327.90333162694,14461.468780415,0.157728025576624,158.522902310394,1051.74557737748,1676.57206844908,FALSE
"24",1457.39455212378,289.665573303205,957.929182727844,2217.28173528617,1482.11288805608,17665.2217926532,0.219928921381531,173.578101029079,1179.04904977122,1863.07653050412,FALSE
